mrg11a	mrg1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/XA6226_hom_1.fq.gz
mrg12a	mrg1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/XA6226_hom_2.fq.gz
mrg13a	mrg1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/XA6226_hom_3.fq.gz
mrg11b	mrg1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/XA6227_hom_1.fq.gz
mrg12b	mrg1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/XA6227_hom_2.fq.gz
mrg13b	mrg1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/XA6227_hom_3.fq.gz
N21	N2	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/N2_1.fq.gz
N22	N2	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/N2_2.fq.gz
N23	N2	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/N2_1.fq.gz
N24	N2	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/N2_2.fq.gz
smo11	smo1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/VC186_1.fq.gz
smo12	smo1	batch1	/data/local/agosdsc/projects/mrg1_nanopore/results/pooled_hom_MRG1/merged_fastq/VC186_2.fq.gz
